period,value,policy_area
2018Q4,832749,Child safety
2019Q1,804552,Child safety
2019Q2,755034,Child safety
2019Q3,850292,Child safety
2019Q4,930149,Child safety
2020Q1,1484975,Child safety
2020Q2,3819568,Child safety
2020Q3,2494698,Child safety
2018Q4,6065922,"Spam, misleading and scams"
2019Q1,5277001,"Spam, misleading and scams"
2019Q2,5846777,"Spam, misleading and scams"
2019Q3,4768586,"Spam, misleading and scams"
2019Q4,4558207,"Spam, misleading and scams"
2020Q1,3243340,"Spam, misleading and scams"
2020Q2,2480717,"Spam, misleading and scams"
2020Q3,2004392,"Spam, misleading and scams"
2018Q4,1218444,Nudity or sexual
2019Q1,1796986,Nudity or sexual
2019Q2,1297336,Nudity or sexual
2019Q3,1262273,Nudity or sexual
2019Q4,1235975,Nudity or sexual
2020Q1,1253507,Nudity or sexual
2020Q2,1279804,Nudity or sexual
2020Q3,1576377,Nudity or sexual
2018Q4,254208,Violent or graphic
2019Q1,376929,Violent or graphic
2019Q2,455821,Violent or graphic
2019Q3,1358696,Violent or graphic
2019Q4,859047,Violent or graphic
2020Q1,999299,Violent or graphic
2020Q2,929173,Violent or graphic
2020Q3,1119163,Violent or graphic
2018Q4,52595,Promotion of violence and violent extremism
2019Q1,96424,Promotion of violence and violent extremism
2019Q2,70126,Promotion of violence and violent extremism
2019Q3,87658,Promotion of violence and violent extremism
2019Q4,122721,Promotion of violence and violent extremism
2020Q1,368163,Promotion of violence and violent extremism
2020Q2,710028,Promotion of violence and violent extremism
2020Q3,200642,Promotion of violence and violent extremism
2018Q4,149018,Harmful or dangerous
2019Q1,70126,Harmful or dangerous
2019Q2,96424,Harmful or dangerous
2019Q3,149018,Harmful or dangerous
2019Q4,271739,Harmful or dangerous
2020Q1,438289,Harmful or dangerous
2020Q2,157784,Harmful or dangerous
2020Q3,197006,Harmful or dangerous
2018Q4,131487,Other
2019Q1,227910,Other
2019Q2,113955,Other
2019Q3,166550,Other
2019Q4,149018,Other
2020Q1,122721,Other
2020Q2,131487,Other
2020Q3,151513,Other
2018Q4,43829,Harassment and Cyberbullying
2019Q1,52595,Harassment and Cyberbullying
2019Q2,35063,Harassment and Cyberbullying
2019Q3,43829,Harassment and Cyberbullying
2019Q4,52595,Harassment and Cyberbullying
2020Q1,52595,Harassment and Cyberbullying
2020Q2,78892,Harassment and Cyberbullying
2020Q3,43699,Harassment and Cyberbullying
2018Q4,17532,Hateful or abusive
2019Q1,17532,Hateful or abusive
2019Q2,105189,Hateful or abusive
2019Q3,78892,Hateful or abusive
2019Q4,131487,Hateful or abusive
2020Q1,157784,Hateful or abusive
2020Q2,61360,Hateful or abusive
2020Q3,85134,Hateful or abusive